Study,Year,Data source,ID: CRS,ID: CTG,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
3000 Non Carriers 2016,2016,SOUGHT,29686448,,<p>RCT</p>,"<p>Individuals with Mild Dementia (MMSE 22-26) (bapineuzumab 0.5mg: 100% ; bapineuzumab 1.0 mg: 100%; placebo: 100%), number randomised: 879</p><p>Age, years, mean (SD): bapineuzumab 0.5 mg= 71.1 (NR); bapineuzumab 1.0 mg= 70.7 (NR); placebo= 69.7 (NR)</p><p>Females (%): bapineuzumab 0.5 mg (55.7); bapineuzumab 1.0 mg (57.3); placebo (57.9)</p><p>White (%): bapineuzumab 0.5 mg (79.2); bapineuzumab 1.0 mg (79.4); placebo (80.5)</p><p>Asian (%): bapineuzumab 0.5 mg (17.1); bapineuzumab 1.0 mg (17.4); placebo (17.3)</p><p>Black (%): bapineuzumab 0.5 mg (0.8); bapineuzumab 1.0 mg (2.0); placebo (0.6)</p><p>Other (%): bapineuzumab 0.5 mg (2.7); bapineuzumab 1.0 mg (1.2); placebo (1.8)</p><p>Years of formal education, mean (SD):&nbsp;<b> </b>bapineuzumab 0.5 mg 11.8 (3.9); bapineuzumab 1.0 mg 11.9 (3.9); placebo 11.8 (3.9)</p><p>Concomitant use of donepezil, rivastigmine, galantamine, or memantine</p>","<p>Bapineuzumab 0.5 mg/kg IV, every 13 weeks; Number randomised: 269</p><p>Bapineuzumab 1.0 mg/kg IV, every 13 weeks; Number randomised: 264</p><p>Placebo, every 13 weeks; number randomised: 346</p><p>Treatment duration: 65 weeks</p>",<p><b>Critical</b>:</p><p>-Cognitive function</p><p>-Functional ability</p><p>-Amyloid-related imaging abnormality&nbsp;</p><p><b>Important</b>:</p><p>-Treatment discontinuation</p>,"<p>Funding: Pfizer Inc. and Janssen Alzheimer ImmunotherapyResearch &amp; Development</p><p>Role of funders: not stated; however, several co-authors were employed by Pfizer Inc.</p><p>Country: US, Argentina, Australia, Belgium, Canada, Chile, Croatia, Finland, France, Germany, Italy, Japan, Mexico, Netherlands, New Zealand, Poland, Portugal, Russia, Serbia, Slovakia, South Africa, South Korea, Spain, Sweden, Switzerland, UK</p>"
3001 Carriers 2016,2016,SOUGHT,29686452,,<p>RCT</p>,"<p>Individuals with Mild Dementia (MMSE 22-26) (bapineuzumab: 100% ; placebo: 100%), number randomised: 1099</p><p>Age, years, mean (SD); bapineuzumab= 70.9 (NR); placebo= 70.2 (NR)</p><p>Females (%): bapineuzumab (64.5); placebo (60.1)</p><p>White (%): bapineuzumab (79.5); placebo (82.6)</p><p>Asian (%): bapineuzumab (17.5); placebo (16)</p><p>Black (%): bapineuzumab (0.8); placebo (0.7)</p><p>Other race (%): bapineuzumab (2); placebo (0.7)</p><p>Years of formal education, mean (SD):&nbsp;bapineuzumab 12.2 (3.7); placebo 12.5 (3.6)</p><p>Concomitant use of donepezil, rivastigmine, galantamine, or memantine</p>","<p>Bapineuzumab 0.5 mg/kg IV, every 13 &nbsp;weeks; Number randomised: 658</p><p>Placebo, every 13 weeks; number randomised: 441</p><p>Treatment duration: 65 weeks</p>",<p><b>Critical</b>:</p><p>-Cognitive function</p><p>-Functional ability</p><p>-Amyloid-related imaging abnormality&nbsp;</p><p><b>Important</b>:</p><p>-Treatment discontinuation</p>,"<p>Funding: Pfizer Inc. and Janssen Alzheimer ImmunotherapyResearch &amp; Development</p><p>Role of funders: not stated; however, several co-authors were employed by Pfizer Inc.</p><p>Country: US, Argentina, Australia, Austria, Belgium, Chile, Croatia, Finland, France, Germany, Italy, Japan, Mexico, Netherlands, New Zealand, Poland, Portugal, Serbia, Slovakia, South Africa, Spain, Sweden, Switzerland, UK</p>"
Bapineuzumab-301 2014,2014,SOUGHT,29686455,,<p>RCT</p>,"<p>Individuals with Mild Dementia (MMSE≥20) (bapineuzumab 0.5mg: 100% ; bapineuzumab 1.0 mg: 100%; placebo: 100%), number randomised: 1190</p><p>Age, years, mean (SD); bapineuzumab 0.5 mg= 73.1 (9.3); bapineuzumab 1.0 mg= 73.5 (9.1); placebo= 71.9 (10.1)</p><p>Females (%): bapineuzumab 0.5 mg (52.5); bapineuzumab 1.0 mg placebo (57); placebo (50.3)</p><p>White (%): bapineuzumab 0.5 mg (94.8); bapineuzumab 1.0 mg placebo (95.1); placebo (95.1)</p><p>Concomitant use of donepezil, rivastigmine, galantamine, or memantine</p>","<p>Bapineuzumab 0.5 mg/kg IV, every 13 weeks; Number randomised: 337</p><p>Bapineuzumab 1.0 mg/kg IV, every 13 weeks; Number randomised: 329</p><p>Placebo, every 13 weeks; number randomised: 524</p><p>Treatment duration: 78 weeks</p>",<p><b>Critical</b>:</p><p>-Cognitive function</p><p>-Functional ability</p><p>-Amyloid-related imaging abnormality</p><p>-Serous Adverse Events</p><p>-Mortality</p><p><b>Important</b>:</p><p>-Treatment discontinuation</p>,"<p>Funding: Janssen Alzheimer Immunotherapy Research and Development and Pfizer</p><p>Role of funders: ""The sponsor designed the studies in consultation with the academic authors. Data were gathered by the study investigators, analyzed&nbsp;by the sponsor, and interpreted by the sponsors in collaboration with the academic authors.""</p><p>Country: US, Canada, Germany, and Austria</p>"
Bapineuzumab-302 2014,2014,SOUGHT,29686460,,<p>RCT</p>,"<p>Individuals with Mild Dementia (MMSE≥20) (bapineuzumab: 100%; placebo: 100%), number randomised: 1121</p><p>Age, years, mean (SD); bapineuzumab = 72.0 (8.0); placebo= 72.3 (8.4)</p><p>Females (%): bapineuzumab (54.4); placebo (56)</p><p>White (%): bapineuzumab (94.8); placebo (97.2)</p><p>Concomitant use of donepezil, rivastigmine, galantamine, or memantine</p>","<p>Bapineuzumab 0.5 mg/kg IV, every 13 weeks; Number randomised: 673</p><p>Placebo, every 13 weeks; number randomised: 448</p><p>Treatment duration: 78 weeks</p>",<p><b>Critical</b>:</p><p>-Cognitive function</p><p>-Functional ability</p><p>-Amyloid-related imaging abnormality</p><p>-Serous Adverse Events</p><p>-Mortality</p><p><b>Important</b>:</p><p>-Treatment discontinuation</p>,"<p>Funding: Janssen Alzheimer Immunotherapy Research and Development and Pfizer</p><p>Role of funders: ""The sponsor designed the studies in consultation with the academic authors. Data were gathered by the study investigators, analyzed<br>by the sponsor, and interpreted by the sponsors in collaboration with the academic authors.""</p><p>Country: US</p>"
CLARITY AD 2023,2023,SOUGHT,29686463,,<p>RCT</p>,"<p>Individuals with MCI (lecanemab: 61.5% ; placebo: 62.2%) and Mild Dementia (lecanemab: 38.5% ; placebo: 37.8%), number randomised: 1795</p><p>Inclusion criteria (PET/CSF): Amyloid positivity determined by PET or CSF measurement of Amyloid-beta</p><p>Age, years, mean (SD); lecanemab= 71.4 (7.9); placebo= 71 (7.8)</p><p>Females (%): lecanemab (51.6); placebo (53)</p><p>White (%): lecanemab (76.3); placebo (77.4)</p><p>Black (%): lecanemab (2.3); placebo (2.7)</p><p>Asian (%): lecanemab (17.1); placebo (16.9)</p><p>Other or missing (%): lecanemab (4.3); placebo (3)</p><p>Hispanic ethnic group (%): lecanemab (12.5); placebo (12.3)</p><p>Concomitant use of donepezil, rivastigmine, galantamine, or memantine</p>","<p>Lecanemab 10 mg/kg IV, every 2 weeks; Number randomised: 898</p><p>Placebo, every 2 weeks; number randomised: 897</p><p>Treatment duration: 79 weeks</p>",<p><b>Critical</b>:</p><p>-Dementia severity</p><p>-Cognitive function</p><p>-Functional ability</p><p>-Amyloid-related imaging abnormality&nbsp;</p><p>-Symptomatic ARIA-E or ARIA-H</p><p>-Serious adverse events</p><p>-Mortality</p><p><b>Important</b>:</p><p>-Infusion reaction</p><p>-Treatment discontinuation</p>,"<p>Funding: Eisai and Biogen</p><p>Role of funders: ""The sponsor Eisai designed the trial and analyzed the data in collaboration with the academic authors, provided lecanemab and placebo, provided funding for medical writing, and aided in drafting the manuscript. The sponsor could not delay or interdict publication.""</p><p>Country: North America, Europe, and Asia</p>"
CREAD 2022,2022,SOUGHT,29686470,,<p>RCT</p>,"<p>Individuals &nbsp;with MCI (Prodromal AD) (crenezumab: 42.3% ; placebo: 42.8% ) and Mild Dementia (crenezumab: 57.7% ; placebo: 57.2%), number randomised: 813</p><p>Inclusion criteria (PET/CSF): Evidence of increased Amyloid-beta  burden (confirmed by CSF Amyloid-beta42 levels or visually read positive amyloid PET scan)</p><p>Age, years, mean (SD): crenezumab= 71.0 (7.9); placebo= 70.3 (8.4)</p><p>Females (%): crenezumab (58.4); placebo (60.4)</p><p>White (%): crenezumab (87.1); placebo (88)</p><p>Asian (%): crenezumab (6.9); placebo (6.8)</p><p>Black (%): crenezumab (1.2); placebo (0.7)</p><p>Native America or Alaskan Native (%): crenezumab (2.5); placebo (1.2)</p><p>Unknown (%): crenezumab (3.2); placebo (2)</p><p>Education level below undergraduate degree (%): crenezumab (56.7); placebo (58.4)</p><p>Concomitant use of donepezil, rivastigmine, galantamine, or memantine</p>","<p>Crenezumab 60 mg/ kg IV, every 4 weeks; Number randomised: 404</p><p>Placebo, every 4 weeks; number randomised: 409</p><p>Treatment duration (mean): 78.8 weeks</p>",<p><b>Critical</b>:&nbsp;</p><p>-Dementia severity</p><p>-Cognitive function</p><p>-Functional ability</p><p>-Amyloid-related imaging abnormality&nbsp;</p><p>-Serious Adverse Events</p><p>-Mortality</p><p><b>Important</b>:</p><p>-Behavioural symptoms improvement</p><p>-Infusion reaction</p><p>-Treatment discontinuation</p>,"<p>Funding: F. Hoffmann-La Roche</p><p>Role of funders: ""The funder designed the study, provided clinical operations oversight, site monitoring and management, data management support, and medical monitoring. Data were collected by the investigators, analyzed<br>by the sponsor, and interpreted by all authors. The first draft of the manuscript was prepared by a professional medical writer (funded by the<br>sponsor) and the first author.""</p><p>Country: Australia, Austria, Belgium, Bulgaria, Canada, Costa Rica, Croatia, Czech Republic, Denmark, Finland, France, Germany, Hong Kong, Hungary, Italy, Japan, Republic of Korea, Lithuania, Mexico, Poland, Portugal, Russian Federation, Slovenia, Spain, Sweden, Switzerland, Turkey, Ukraine, UK, US&nbsp;</p>"
CREAD 2 2022,2022,SOUGHT,29686473,,<p>RCT</p>,"<p>Individuals with MCI (Prodromal AD) (crenezumab: 48.6% ; placebo: 47.6%) and Mild Dementia (crenezumab: 51.4% ; placebo: 52.4%), number randomised: 806</p><p>Inclusion criteria (PET/CSF): Evidence of increased Amyloid-beta burden (confirmed by CSF Amyloid-beta42 levels or visually read positive amyloid PET scan)</p><p>Age, years, mean (SD): crenezumab= 71.1 (7.5); placebo= 70.7 (7.9)</p><p>Females (%): crenezumab (56.8); placebo (56.4)</p><p>White (%): crenezumab (84); placebo (83.5)</p><p>Asian (%): crenezumab (11.5); placebo (11.3)</p><p>Black (%): crenezumab (0,7); placebo (1)</p><p>Native America or Alaskan Native (%): crenezumab (1.2); placebo (2)</p><p>Unknown (%): crenezumab (1.7); placebo (1.3)</p><p>Education level below undergraduate degree (%): crenezumab (56.3); placebo (58.1)</p><p>Concomitant use of donepezil, rivastigmine, galantamine, or memantine</p>","<p>Crenezumab 60 mg per kg IV, every 4 weeks; Number randomised: 407</p><p>Placebo, every 4 weeks; number randomised: 399</p><p>Treatment duration (mean) : 41.9 weeks</p>",<p><b>Critical</b>:&nbsp;</p><p>-Dementia severity</p><p>-Cognitive function</p><p>-Functional ability</p><p>-Amyloid-related imaging abnormality&nbsp;</p><p>-Serious Adverse Events</p><p>-Mortality</p><p><b>Important</b>:</p><p>-Behavioural symptoms improvement</p><p>-Infusion reaction</p><p>-Treatment discontinuation</p>,"<p>Funding: F. Hoffmann-La Roche</p><p>Role of funders: ""The funder designed the study, provided clinical operations oversight, site monitoring and management, data management support, and medical monitoring. Data were collected by the investigators, analyzed<br>by the sponsor, and interpreted by all authors. The first draft of the manuscript was prepared by a professional medical writer (funded by the<br>sponsor) and the first author.""</p><p>Country: Argentina, Australia, Belgium, Brazil, Canada, China, Denmark, Estonia, France, Germany, Greece, Israel, Italy, Japan, Republic of Korea, Mexico, Norway, Peru, Poland, Portugal, Russian Federation, Serbia, South Africa, Spain, Sweden, Taiwan, Turkey, UK, US</p>"
EMERGE 2022,2022,SOUGHT,29686476,,<p>RCT</p>,"<p>Individuals with MCI (aducanumab high dose: 80% ; aducanumab low dose: 83%; placebo: 81%) and Mild Dementia (aducanumab high dose: 20%; aducanumab low dose:17%; placebo: 19%), number randomised: 1638</p><p>Inclusion criteria (PET/CSF): ""Amyloid pathology confirmed by visual assessment of amyloid positron emission tomography (PET; 18F-florbetapir, 18F-flutemetamol, or 18F-florbetaben)""</p><p>Age, years, mean (SD); aducanumab high dose= 70.6 (7.5); &nbsp;aducanumab low dose= 70.6 (7.4); placebo= 70.8 (7.4)</p><p>Females (%): aducanumab high dose (52); aducanumab low dose (50); placebo (53)</p><p>White (%): aducanumab high dose (77); aducanumab low dose (80); placebo (79)</p><p>American Indian or Alaska (%): aducanumab high dose (0); aducanumab low dose (0); placebo (0.2)</p><p>Asian (%): aducanumab high dose (8); aducanumab low dose (7); placebo (9)</p><p>Black or African American (%): aducanumab high dose (1); aducanumab low dose (1); placebo (0.2)</p><p>Native Hawaiian or other Pacific Islander (%): aducanumab high dose (0); aducanumab low dose (0); placebo (0)</p><p>Race not reported (%): aducanumab high dose (14); aducanumab low dose (12); placebo (12)</p><p>Other race (%): aducanumab high dose (1); aducanumab low dose (0.2); placebo (0.2)</p><p>Hispanic or Latino (%): aducanumab high dose (4); aducanumab low dose (4); placebo (4)</p><p>Not Hispanic or Latino (%): aducanumab high dose (84); aducanumab low dose (87); placebo (86)</p><p>Ethnicity not reported (%): aducanumab high dose (11); aducanumab low dose (9); placebo (10)</p><p>Years of education, mean (SD): aducanumab high dose 14.5 (3.6); aducanumab low dose 14.5 (3.6); placebo 14.5 (3.7)</p><p>Concomitant use of donepezil, rivastigmine, galantamine, or memantine</p>","<p>Aducanumab high dose 10 mg IV per kg, every 4 weeks; Number randomised: 547</p><p>Aducanumab low dose 3 or 6 mg IV per kg, every 4 weeks; Number randomised: 543</p><p>Placebo, every 4 weeks; number randomised: 548</p><p>Treatment duration: 76 weeks</p>",<p><b>Critical</b>:</p><p>-Cognitive function</p><p>-Dementia severity</p><p>-Functional ability</p><p>-Amyloid-related imaging abnormality&nbsp;</p><p>-Serious Adverse Events</p><p><b>Important</b>:</p><p>-Treatment discontinuation</p>,"<p>Funding: Biogen</p><p>Role of funders: ""Biogen played a role in the design and conduct of the study as well as the collection, analysis, and interpretation of data and Biogen authors played a role in the preparation of this manuscript. Medical writing support, under direction of the authors, was provided by Meditech Media and was funded by Biogen.""</p><p>Country: US, Belgium, Canada, France, Finland, Germany, Italy, Japan, Netherlands, Spain, Sweden, Switzerland</p>"
ENGAGE 2022,2022,SOUGHT,29686482,,<p>RCT</p>,"<p>Individuals with MCI (aducanumab high dose: 80% ; aducanumab low dose: 80%; placebo: 81%) and Mild Dementia (aducanumab high dose: 20%; aducanumab low dose: 20%; placebo: 19%), number randomised: 1647</p><p>Inclusion criteria (PET/CSF): ""Amyloid pathology confirmed by visual assessment of amyloid positron emission tomography (PET; 18F-florbetapir, 18F-flutemetamol, or 18F-florbetaben)""</p><p>Age, years, mean (SD): aducanumab high dose= 70 (7.7); aducanumab low dose= 70.4 (7); placebo= 69.8 (7.7)</p><p>Females (%): aducanumab high dose (53); aducanumab low dose (52); placebo (53)</p><p>White (%): &nbsp;aducanumab high dose (74); aducanumab low dose (75); placebo (76)</p><p>American Indian or Alaska (%): aducanumab high dose (0); aducanumab low dose (0); placebo (0)</p><p>Asian (%): aducanumab high dose (12); aducanumab low dose (10); placebo (10)</p><p>Black or African American (%): aducanumab high dose (0.4); aducanumab low dose (0.2); placebo (1)</p><p>Native Hawaiian or other Pacific Islander (%): aducanumab high dose (0); aducanumab low dose (0.2); placebo (0)</p><p>Race not reported (%): aducanumab high dose (13); aducanumab low dose (14); placebo (13)</p><p>Other race (%): aducanumab high dose (1); aducanumab low dose (0.7); placebo (0.1)</p><p>Hispanic or Latino (%): aducanumab high dose (2); aducanumab low dose (2); placebo (2)</p><p>Not Hispanic or Latino (%): aducanumab high dose (90); aducanumab low dose (90); placebo (90)</p><p>Ethnicity not reported (%): aducanumab high dose (8); aducanumab low dose (8); placebo (8)</p><p>Years of education, mean (SD): aducanumab high dose 14.6 (3.7); aducanumab low dose 14.6 (3.8); placebo 14.7 (3.7)</p><p>Concomitant use of donepezil, rivastigmine, galantamine, or memantine</p>","<p>Aducanumab high dose 10 mg IV per kg, every 4 weeks; Number randomised: 555</p><p>Aducanumab low dose 3 or 6 mg IV per kg, every 4 weeks; Number randomised: 547</p><p>Placebo, every 4 weeks; number randomised: 545</p><p>Treatment duration: 76 weeks</p>",<p><b>Critical</b>:</p><p>-Cognitive function</p><p>-Dementia severity</p><p>-Functional ability</p><p>-Amyloid-related imaging abnormality&nbsp;</p><p>-Serious Adverse Events</p><p><b>Important</b>:</p><p>-Treatment discontinuation</p>,"<p>Funding: Biogen</p><p>Role of funders: ""Biogen played a role in the design and conduct of the study as well as the collection, analysis, and interpretation of data and Biogen authors played a role in the preparation of this manuscript. Medical writing support, under direction of the authors, was provided by Meditech Media and was funded by Biogen.""</p><p>Country: US, Australia, Austria, Canada, Denmark, France, Germany, Italy, Japan, Portugal, South Korea, Spain, Taiwan, UK</p>"
ENVISION,2022,UNPUB,29686485,NCT05310071,<p>RCT</p>,"<p>Individuals with MCI&nbsp;and Mild Dementia; number randomised: 1024</p><p>Inclusion criteria (PET/CSF): Confirmed amyloid beta pathology by cerebrospinal fluid (CSF) or amyloid PET</p><p>Age, years, mean (SD): aducanumab= 72.2 (5.81); placebo= 72.4 (6.18)</p><p>Females (%): aducanumab (51.9); placebo (54.4)</p><p>White (%): aducanumab (78.4); placebo (79.4)</p><p>American Indian or Alaska Native (%): aducanumab (0); placebo (0.3)</p><p>Asian (%): aducanumab (10.7); placebo (11.3)</p><p>Black (%): aducanumab (1.3); placebo (0.9)</p><p>Native Hawaiian or Other Pacific Islander (%): aducanumab (0); placebo (0.3)</p><p>Race not reported (%): aducanumab (8.4); placebo (7.6)</p><p>Other race (%): &nbsp;aducanumab (0.4); placebo (0)</p><p>Unkown race (%): aducanumab (4); placebo (1)</p><p>Hispanic or Latino (%): &nbsp;aducanumab (7.5); placebo (7.8)</p><p>Not Hispanic or Latino (%): &nbsp;aducanumab (86); placebo (85.2)</p><p>Ethnicity not reported (%): &nbsp;aducanumab (6.3); placebo (7)</p>","<p>Aducanumab 10 mg/kg IV, every 4 weeks; number randomised: 680</p><p>Placebo, every 4 weeks; number randomised: 344</p><p>Treatment duration: 78 weeks</p>",<p><b>Critical</b>:</p><p>-Dementia severity</p><p>-Cognitive function</p><p>-Functional ability</p><p>-Amyloid-related imaging abnormality&nbsp;</p><p>-Serious Adverse Events</p><p>-Mortality</p><p><b>Important</b>:</p><p>-Behavioural symptoms improvement</p>,"<p>Funding: Biogen</p><p>Role of funders: not reported</p><p>Country: US, Australia, Belgium, Brazil, Canada, Finland, France, Germany, Italy, Japan, Mexico, Poland, South Korea, Spain, Sweden, UK</p>"
